Report generated on: 03-22-2025 16:43:44
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","consumed natural gas CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4010-8-ABW-MMTCD.A","        Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-AUS-MMTCD.A","        Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.98971174","20.55967056","22.73854869","23.07376071","24.605559733","26.30936847","28.71872476","29.439870973","30.71264735","31.5427189","34.619475","32.379422533","33.536285558","34.905293386","36.490308118","39.15995044","39.302557457","39.57978767","41.474939549","42.933256025","45.074426086","47.526500428","52.246946318","53.772897606","55.831994153","56.335859162","56.288040561","62.533598323","63.709760512","66.933966315","67.784887572","68.890641809","71.402492853","73.610852522","75.23351733","76.261072999","82.848989004","77.9986491","78.934402028","92.438553631","91.171652205","88.980368528","97.077135379","93.496947105"
"INTL.4010-8-AUT-MMTCD.A","        Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82906584","9.15307085","8.865238433","9.037937883","10.018425083","10.762650947","10.419162087","10.877147233","10.361913943","11.1116577","12.2513149","12.8227352","12.59198783","13.28089225","13.669482991","14.778855976","15.876151911","15.300539327","15.708845831","15.973941988","14.463225724","15.316435766","15.489332955","16.748475527","16.730765351","19.095208796","17.914066322","16.894597598","17.851183205","17.4246625","19.0019784","17.934365224","17.139415845","16.51661355","15.076338463","16.087613967","16.80046907","18.236061657","16.989644128","17.744464037","16.871375192","17.864966133","15.635679613","13.39659547"
"INTL.4010-8-AZE-MMTCD.A","        Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","29.033935478","21.579636695","18.440487547","17.656116887","18.244394882","17.96972072","10.966237863","11.770559424","11.103561056","13.183026555","17.467982356","17.841335058","19.369521665","20.226925038","22.019677547","17.420427947","19.499893445","19.146776663","20.480773397","18.263984706","20.696566987","18.57786629","19.676451837","21.343947755","20.935905161","20.302262095","20.695090498","22.496645633","22.723712945","25.493165221","27.100598739","24.920642505"
"INTL.4010-8-BHR-MMTCD.A","        Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.555033","6.6660396","7.2215429","7.7770462","7.38819389","9.11025412","9.9990594","12.05442161","10.11016006","10.33236138","11.387882779","12.94322689","10.436562689","12.986850564","12.731580133","12.731580133","12.888762569","15.635226434","16.262989604","16.498400792","16.812282377","17.459663145","18.558248691","18.872130276","19.127159064","21.010448571","22.226739712","23.109531669","24.345440408","24.482763601","25.051673973","24.757409988","26.876110684","30.799630492","30.407278511","30.407278511","30.073782161","31.170396631","31.503267502","34.701137471","34.632065874","35.626775508","37.203718306","38.994792144"
"INTL.4010-8-BGD-MMTCD.A","        Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.496316167","2.9955794","3.245211017","3.44491631","4.743000717","4.992632333","5.641674537","6.540348357","7.4889485","8.187917027","8.08806438","8.637253937","10.296784954","11.32210856","12.322769496","13.519068402","13.996079539","13.996079539","15.041658221","16.6008545","17.793181066","18.893790204","20.361269055","22.924766488","24.938146722","26.651454512","29.164305937","31.673953342","34.914267311","38.230147446","39.33935685","39.300271547","43.052460576","44.557244718","46.706936349","52.494226544","57.506873992","57.710115838","55.797584404","63.050183555","60.184462299","60.998399305","58.101688546","56.905649462"
"INTL.4010-8-BRB-MMTCD.A","        Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022220132","0.022220132","0.022220132","0.022220132","0.022220132","0.022220132","0.022220132","0.022220132","0.049995297","0.05555033","0.066699837","0.064738077","0.094164475","0.092202715","0.090240956","0.092202715","0.088279196","0.084355676","0.072585116","0.092202715","0.074374634","0.062776317","0.056891037","0.056891037","0.058852797","0.051695148","0.05270089","0.036961025","0.03339064","0.032032888","0.031680878","0.032384898","0.037061599","0.043448062","0.027859058","0.034798679","0.03922131","0.04240289","0.067168259","0.0621958","0.035206138","0.0356431","0.042677989","0.063938403"
"INTL.4010-8-BLR-MMTCD.A","        Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","35.537815335","32.992601083","27.377284037","24.87058362","27.20232119","29.339646426","29.980843997","33.439424834","38.085192688","34.974412958","32.914808639","34.89669204","31.896304868","39.481401757","40.784482505","40.376054211","41.332943357","34.52191533","42.062279597","40.900632932","40.27886559","39.458909909","39.015900678","33.672587587","33.445255834","34.410930033","36.502515667","36.216896252","33.532778071","34.271773062","32.261237701","29.328323727"
"INTL.4010-8-BEL-MMTCD.A","        Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.96348485","19.26832435","15.9345087","16.78208895","17.2906371","17.2906371","15.3694552","17.1776264","16.89509965","18.7597762","19.246287264","20.433141021","21.058530563","22.100040888","22.596354171","24.99839766","27.839031258","26.55593348","29.245849195","31.137570336","31.295213764","30.896116477","31.841977047","33.923269399","34.569807004","33.983133992","34.978881723","35.240290447","35.000832074","35.344055741","39.511710905","33.793948567","33.694842023","33.924835356","29.715148451","32.507609974","33.048260659","33.423870609","34.439054398","34.706019226","34.510421234","34.622002714","29.175655909","27.282357966"
"INTL.4010-8-BLZ-MMTCD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
