Report generated on: 03-22-2025 17:04:53
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","total energy consumption from petroleum and other liquids (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4415-2-WORL-QBTU.A","    World","132.06401937163076","126.81113213676979","123.92428288938333","122.21533499685697","123.41709237538814","123.47159748556288","127.00641121864258","129.26577065229108","133.44845445479027","135.03680047363878","136.07236806946378","136.35549585944548","137.25986377384982","136.07229289152323","138.78390382201337","141.5470514882098","145.97630941389036","148.04874736474406","149.78518948768385","152.98869010058684","156.59347508135104","157.77857686408285","159.27600258479595","162.7008781961103","169.4965925585954","171.60845961581293","173.96220121936577","176.9581902283815","176.0655185605891","172.70086496891565","179.0415487728071","180.25117474859758","182.34567966143652","184.65514777949252","187.2804557370099","188.4764918308964","194.25825879525593","195.21413066050573","195.6750675265018","196.88108187938408","179.18867081758484","189.69035466496067","194.9216636697916","201.03502592238553"
"INTL.4415-2-AFG-QBTU.A","        Afghanistan","0.01462409812353294","0.01666759037178232","0.01625090060634963","0.022917936760382725","0.02298072562821939","0.027084834352942865","0.02832975751","0.02867511248","0.02737463585298","0.0276986182199","0.0281181857199","0.02640851194115","0.01468391411838","0.01464402360995","0.01361406660995","0.01319449910995","0.01218545230398","0.01149772912145","0.01109338212145","0.01109339814","0.008129110709999998","0.008037031630000002","0.006836038909999987","0.009580642700000008","0.00896557613999999","0.013311272060000013","0.017167204469999992","0.018241910550000007","0.04154154754000009","0.07230694489999986","0.08549383780999997","0.1108015226199999","0.09834542611000005","0.06995016059999988","0.05528504958999995","0.069916271","0.0515175345","0.07747830869796388","0.10897156","0.10943295","0.11500772","0.10481883","0.10041746","0.1060461"
"INTL.4415-2-ALB-QBTU.A","        Albania","0.09929727737859491","0.0947204962399349","0.09256775768747862","0.0947204962399349","0.09282136798251281","0.09041501913652979","0.0824498865","0.072966858","0.068141514","0.058063178","0.0430141623","0.038544189581","0.0437916634908","0.035639667771","0.0277422550795","0.031145343055","0.0245687854872","0.025573470814","0.0310095605","0.01910170973376","0.045761196031372006","0.048300987175247945","0.05591456621997598","0.05653253412783189","0.06325198639085008","0.06309584983626397","0.05856770272347607","0.057138345921296","0.056475640375417926","0.05444561631957195","0.05266362087706206","0.052162300269616095","0.04602069949153798","0.05495550257292798","0.056805568266808014","0.053080053348372","0.05483","0.07019911554518199","0.06453125315","0.05215828","0.03958554","0.0496106","0.05229012","0.03979485"
"INTL.4415-2-DZA-QBTU.A","        Algeria","0.23274083625491324","0.2436142678135874","0.2743058291176511","0.2608782710469624","0.2885216978318409","0.3165067259003871","0.318808593","0.3242142065","0.3353913468","0.357827385","0.379428085","0.407682005","0.41277114","0.40205261","0.397562745","0.3990229275","0.3886047456","0.384324268","0.400556475","0.378129342","0.43818810006799397","0.44413404949043617","0.48359572498640585","0.4918234071532441","0.5134050221353977","0.5180272030310763","0.528632034194927","0.54412093554","0.6254781938606531","0.6918022624736029","0.6857830477296001","0.688148656","0.7359474201479452","0.7902320239999999","0.8240798439999999","0.859255","0.838878","0.80475497886","0.81036911186","0.8642612","0.78490192","0.80615825","0.84877352","0.8717209"
"INTL.4415-2-ASM-QBTU.A","        American Samoa","0.0058931124","0.00692647725","0.0096550895","0.00608690425","0.0069454539","0.00650669075","0.006716584","0.0069730088735","0.0067788142464","0.007806191271","0.008210538271","0.008210538271","0.0084455186982","0.008216195771","0.008003583271","0.007790970771","0.0078116066982","0.008003583271","0.008003583271","0.0080035935","0.007837103119999992","0.00783710312000001","0.007967311610000008","0.007967311610000008","0.007967311610000001","0.008463481349999993","0.0086069555","0.0086069555","0.0086305362","0.0086069555","0.0086069555","0.004911508895857226","0.004924965633037225","0.004911508895857226","0.004911508895857226","0.004911507088825","0.00492496540458","0.004911508895818637","0.004911508895818637","0.004911508895818637","0.00467861754264","0.0054025451348","0.005402210114017736","0.00537216242895"
"INTL.4415-2-AGO-QBTU.A","        Angola","0.04322810622258778","0.04310999664274464","0.04526549647258719","0.04742099630242974","0.04106670090725115","0.05388749580030859","0.051300896","0.0515069385","0.0518354088","0.0523203045","0.052247925","0.055039372","0.0549880596","0.053335041","0.0527389595","0.0571006365","0.0534343896","0.0639963625","0.0523856395","0.064592882","0.0804302239309459","0.09022124799226804","0.09367319749766793","0.10569338045431415","0.11213216173672391","0.0878558775547019","0.11746621539424797","0.1388740015439801","0.17165463618912796","0.20331695954614004","0.2208150848664","0.231080611696","0.24697316511839995","0.2875084632296","0.326254106","0.3231382425","0.279812496","0.2295136995","0.232148246","0.23686322","0.17149063","0.20616025","0.2356759","0.242945"
"INTL.4415-2-ATA-QBTU.A","        Antarctica","0.00213195","0.002126125","0.002126125","0.002126125","0.002771535","0.002976575","0.0027639625","0.0027639625","0.00298473","0.0027639625","0.002976575","0.002976575","0.00298473","0.002976575","0.002976575","0.0031891875","0.003197925","0.0031891875","0.0031891875","0.0031891875","0.003172178500000001","0.003259087500000006","0.003259087500000006","0.003259087500000006","0.003302542000000008","0.0033025419999999986","0.0033025419999999986","0.003345996499999991","0.00014840905078009436","0.0001909190185465","0.0001909190185465","0.0001909190185465","0.0001914409345206","0.0001909190185465","0.0001909190185465","0.0001894104447","0.0001892456","0.00018650857384650002","0.00018650857384650002","0.0001865087","0.00015701273540170708","0.00016707917281429382","0.00017593506246516908","0.00017339"
"INTL.4415-2-ATG-QBTU.A","        Antigua and Barbuda","0.005804855437462404","0.00516874569536389","0.00702949414112474","0.00413499655479432","0.00456095784348873","0.004548496210036575","0.004624394072","0.0057559173955","0.0057713111868","0.0057559173955","0.0059685298955","0.0059476518955","0.0059635709868","0.0059476518955","0.0063672193955","0.0067884293955","0.0068066519868","0.0069953843955","0.0069953843955","0.0069954036","0.007289302129999994","0.007289302130000003","0.007814667939999994","0.008213774980000001","0.008519161109999993","0.008649450129999998","0.008914563839999997","0.009342398069999997","0.009556925079999988","0.010013005165999993","0.00967962615999999","0.009649499286000004","0.009916653979999999","0.00991665397999999","0.010139449389999987","0.01033443","0.0104893324","0.009966558209879533","0.00992058","0.0102832","0.00992384","0.01030842","0.01034367","0.01019694"
"INTL.4415-2-ARG-QBTU.A","        Argentina","1.1020518560079822","1.0628364813118547","1.0303120855230776","1.0502004053963518","1.0244475077232187","0.9219910822564917","0.992453443","0.999429765","0.959002184","0.875377017","0.834030773","0.845268981","0.883320174","1.012431277","0.90338261","0.884328541","0.962537578","0.992251079","1.08203424","0.990652705","1.126806919147422","1.0659743115249043","0.959487377942972","1.02711271791691","1.1479248449709962","1.1576203728236274","1.2272817391127167","1.296595282889503","1.422393445075333","1.3557148330801287","1.5004415017636834","1.4947934351920378","1.561940027321027","1.5690593402966324","1.5761606708657665","1.6340336837104001","1.595071","1.40270481566","1.2757995494","1.39827558","1.11774459","1.45446752","1.50278509","1.5277076"
