Report generated on: 03-21-2025 16:48:58
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","total energy production from petroleum and other liquids (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4415-1-WORL-QBTU.A","    World","20.473757967","20.412303121","20.458149338","20.528111329","94.97200101778554","93.84376630202506","98.62215227718202","98.61697005995481","103.86972114278743","106.69001972809701","110.57981001221466","113.00073820579559","134.82449739634342","134.6353362442224","138.7835802807809","141.28355163251715","144.8441639900665","149.2452830213394","151.32228030355648","148.13245712290117","152.87664180456392","152.6186413591494","151.6790418451009","159.60157176239736","166.1386247514141","168.50562690774703","168.95709837515875","168.97260194566374","172.0963668377197","169.06910264537973","171.12291902819078","173.08519628754357","177.77564445800132","177.76066328842248","182.35080032306274","187.4925019277969","188.55887693415826","188.90138033271973","193.28370018649778","192.2153759515652","179.59888878153706","181.8349558501253","190.06573894644188","192.94213845333283"
"INTL.4415-1-AFG-QBTU.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4415-1-ALB-QBTU.A","        Albania","0","0","0","0","0.12461236363636363","0.11506363636363695","0.10355727272727326","0.09205185185185213","0.06922777777777743","0.06903863084395837","0.04602575389597224","0.03794287492410424","0.02769111111111097","0.025314164642784732","0.02301287694798612","0.020711589253187508","0.020768333333333226","0.016455108618194613","0.017236392638129844","0.014866848119813727","0.013190199259259192","0.012942441995547393","0.016352950359238935","0.013807726168791673","0.016153148148148066","0.016109013863590285","0.020711589253187508","0.02301287694798612","0.02307592592592581","0.02301287694798612","0.029916740032381955","0.03682060311677779","0.04153666666666645","0.04832704159077085","0.05523090467516669","0.05292961698036808","0.043844259259259034","0.0391218908115764","0.03682060311677779","0.041423178506375016","0.03983234560969419","0.037035303801355814","0.03452710197075473","0.032187606595324665"
"INTL.4415-1-DZA-QBTU.A","        Algeria","0","0","0","0","2.096330272583824","2.205818794406931","2.3720541492063507","2.4113004351144913","2.442548113846159","2.4922570049495643","2.6119045252837383","2.5805935836696148","2.576250843272389","2.5576362068095895","2.5144256599937007","2.545357513745277","2.73920192717529","2.799120259331658","2.795852305769237","2.684398434110977","2.8092140930958447","2.9455716428121126","3.180063240416149","3.5792119628625585","3.7312956985498227","3.865653297572522","3.845413635892194","3.892142004534218","3.9313145192307823","3.8160786948297725","3.752900588272395","3.719524988272395","3.7511303868915626","3.520136978247174","3.4354230359394813","3.57975685236445","3.3902874432030368","3.251294691677185","3.1398097433165293","3.1274413947036668","2.8041263304539807","2.8183401692938297","2.9392407279319133","2.880913095523338"
"INTL.4415-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4415-1-AGO-QBTU.A","        Angola","0","0","0","0","0.4351378846153838","0.4941000320227704","0.6011621684640078","0.7558224535768696","0.9646936613230824","0.9774978079210804","1.0123668152473535","1.0595912120992321","1.1421450293776307","1.0719932257362552","1.0460818758160464","1.3599612218917756","1.4739746583490514","1.5098752241404338","1.5509976904105631","1.5907674746481955","1.589952135499784","1.5726254500943002","1.907347318397289","1.8699589830385919","2.1111478458091564","2.64680269878609","2.9677860447820286","3.578405970009071","4.176123962683161","4.0075410206006135","4.075000281807635","3.749738824532138","3.8270597892064453","3.8528353236616897","3.7275314233642867","3.8738664496228097","3.8172114323371575","3.6077356953510638","3.451930191642368","3.1355120304753052","2.7151142836742905","2.4252078680595064","2.5030160751789428","2.4812884117365637"
"INTL.4415-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4415-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4415-1-ARG-QBTU.A","        Argentina","0","0","0","0","1.0973941999999957","1.0540743994788546","1.0036318121141412","0.9943431975803374","1.0407334114146924","1.062904602003642","1.1114840027322395","1.1318284506982381","1.2832683347783838","1.3627087751669689","1.534926438863083","1.6528547035163919","1.7959049322125058","1.9081065836065556","1.9352869740628396","1.9081715922759543","1.8432444280680007","1.9358445517893121","1.8832478824957481","1.8270120621991484","1.758999212012749","1.6519755877012736","1.6476340314420144","1.6114613870033379","1.6153170497258638","1.5427974312440789","1.5131546491366106","1.40225027635519","1.3528570007598653","1.326100838107467","1.3090806501223424","1.3155506526484506","1.2768284409869448","1.2095131168511428","1.2548344420445028","1.3032332592245657","1.2331260809072946","1.3046507138613272","1.4558157634463198","1.570984446014449"
